,langname,glottocode,word,count,id,year,simple_elaboration,regression_elaboration,dictsize_data,countryname,bila_language_name_mapping,response_mean,response_std,dictionary_count_mean
462,Russian,russ1263,loneliness,2.0,mdp.39015046500511,1999.0,6.488871585231328e-05,0.6429098602699884,30822.0,Kazakhstan,Russian,2.039568345323741,2.156816704487449,4.357082273112807
463,Russian,russ1263,love,20.0,mdp.39015046500511,1999.0,0.0006488871585231,-3.602960384404936,30822.0,Kazakhstan,Russian,3.716845878136201,2.0273585823639464,4.357082273112807
464,Russian,russ1263,pleasure,11.0,mdp.39015046500511,1999.0,0.0003568879371877,-2.3846344220973146,30822.0,Kazakhstan,Russian,3.1299638989169676,1.8604593671088343,4.357082273112807
465,Russian,russ1263,regret,6.0,mdp.39015046500511,1999.0,0.0001946661475569,-0.4598462252685889,30822.0,Kazakhstan,Russian,2.773381294964029,2.002456092608712,4.357082273112807
466,Russian,russ1263,relief,7.0,mdp.39015046500511,1999.0,0.000227110505483,0.0231316022526671,30822.0,Kazakhstan,Russian,2.624548736462094,1.812749801468709,4.357082273112807
467,Russian,russ1263,sadness,2.0,mdp.39015046500511,1999.0,6.488871585231328e-05,-0.5615041094686961,30822.0,Kazakhstan,Russian,3.028673835125448,1.9133858359626728,4.357082273112807
468,Russian,russ1263,admiration,2.0,mdp.39015046500511,1999.0,6.488871585231328e-05,-0.6096967596077437,30822.0,Russia,Russian,2.5530434782608697,1.7748397257536566,4.357082273112807
469,Russian,russ1263,anger,9.0,mdp.39015046500511,1999.0,0.0002919992213354,-2.7960002921878555,30822.0,Russia,Russian,2.502608695652174,1.856219457429612,4.357082273112807
470,Russian,russ1263,anxiety,4.0,mdp.39015046500511,1999.0,0.0001297774317046,-1.256602065355523,30822.0,Russia,Russian,3.345486111111111,1.7406886512746398,4.357082273112807
471,Russian,russ1263,boredom,4.0,mdp.39015046500511,1999.0,0.0001297774317046,2.405940630642487,30822.0,Russia,Russian,2.1180555555555554,1.9622401671125673,4.357082273112807
472,Russian,russ1263,compassion,2.0,mdp.39015046500511,1999.0,6.488871585231328e-05,-1.1503799904497063,30822.0,Russia,Russian,3.5572916666666665,1.6545638463773868,4.357082273112807
473,Russian,russ1263,confusion,14.0,mdp.39015046500511,1999.0,0.0004542210109661,0.5026710770469658,30822.0,Russia,Russian,2.578125,1.8093882583805,4.357082273112807
474,Russian,russ1263,determination,2.0,mdp.39015046500511,1999.0,6.488871585231328e-05,-0.7614999949078911,30822.0,Russia,Russian,3.0572916666666665,1.5798235316972424,4.357082273112807
475,Russian,russ1263,disgust,4.0,mdp.39015046500511,1999.0,0.0001297774317046,-0.4900874005210027,30822.0,Russia,Russian,1.6423611111111112,1.8246268892637074,4.357082273112807
476,Russian,russ1263,fear,10.0,mdp.39015046500511,1999.0,0.0003244435792615,-3.54207744729496,30822.0,Russia,Russian,2.394415357766143,1.7714036398145798,4.357082273112807
477,Russian,russ1263,frustration,2.0,mdp.39015046500511,1999.0,6.488871585231328e-05,0.9815337026269356,30822.0,Russia,Russian,2.7135416666666665,1.983292990699186,4.357082273112807
478,Russian,russ1263,gratitude,2.0,mdp.39015046500511,1999.0,6.488871585231328e-05,-0.5936326303489353,30822.0,Russia,Russian,3.417391304347826,1.6994701402978434,4.357082273112807
479,Russian,russ1263,hope,1.0,mdp.39015046500511,1999.0,3.244435792615664e-05,-1.2463939565604425,30822.0,Russia,Russian,3.5104166666666665,1.595612189997796,4.357082273112807
480,Russian,russ1263,loneliness,2.0,mdp.39015046500511,1999.0,6.488871585231328e-05,0.6429098602699884,30822.0,Russia,Russian,2.157986111111111,2.033896779856616,4.357082273112807
481,Russian,russ1263,love,20.0,mdp.39015046500511,1999.0,0.0006488871585231,-3.602960384404936,30822.0,Russia,Russian,3.736111111111111,1.7790514760931944,4.357082273112807
482,Russian,russ1263,pleasure,11.0,mdp.39015046500511,1999.0,0.0003568879371877,-2.3846344220973146,30822.0,Russia,Russian,3.3524305555555554,1.753236310480271,4.357082273112807
483,Russian,russ1263,regret,6.0,mdp.39015046500511,1999.0,0.0001946661475569,-0.4598462252685889,30822.0,Russia,Russian,2.8417391304347825,1.8167811740183606,4.357082273112807
484,Russian,russ1263,relief,7.0,mdp.39015046500511,1999.0,0.000227110505483,0.0231316022526671,30822.0,Russia,Russian,2.1010452961672472,1.7011131623039872,4.357082273112807
485,Russian,russ1263,sadness,2.0,mdp.39015046500511,1999.0,6.488871585231328e-05,-0.5615041094686961,30822.0,Russia,Russian,3.2881944444444446,1.7486191929993233,4.357082273112807
486,Serbian-Croatian-Bosnian,sout1528,admiration,5.0,mdp.39015012891506,1985.0,0.0001487254231238,0.6801086749042635,33619.0,Croatia,Serbian-Croatian-Bosnian,2.552581261950287,1.6800063944051167,5.450551232166018
487,Serbian-Croatian-Bosnian,sout1528,anger,20.0,mdp.39015012891506,1985.0,0.0005949016924953,-0.9413731256340334,33619.0,Croatia,Serbian-Croatian-Bosnian,3.141491395793499,1.7905293833464377,5.450551232166018
488,Serbian-Croatian-Bosnian,sout1528,anxiety,9.0,mdp.39015012891506,1985.0,0.0002677057616228,0.2144237918555349,33619.0,Croatia,Serbian-Croatian-Bosnian,3.5,1.8182209277907384,5.450551232166018
489,Serbian-Croatian-Bosnian,sout1528,boredom,3.0,mdp.39015012891506,1985.0,8.923525387429727e-05,1.579774518539894,33619.0,Croatia,Serbian-Croatian-Bosnian,3.0419847328244276,1.9928535494021973,5.450551232166018
490,Serbian-Croatian-Bosnian,sout1528,compassion,7.0,mdp.39015012891506,1985.0,0.0002082155923733,0.716131857137845,33619.0,Croatia,Serbian-Croatian-Bosnian,2.904397705544933,1.6500434716653767,5.450551232166018
491,Serbian-Croatian-Bosnian,sout1528,confusion,24.0,mdp.39015012891506,1985.0,0.0007138820309943,2.885361287688503,33619.0,Croatia,Serbian-Croatian-Bosnian,2.898854961832061,1.792079084067123,5.450551232166018
492,Serbian-Croatian-Bosnian,sout1528,determination,16.0,mdp.39015012891506,1985.0,0.0004759213539962,5.072570745710819,33619.0,Croatia,Serbian-Croatian-Bosnian,3.508604206500956,1.4388634836761272,5.450551232166018
493,Serbian-Croatian-Bosnian,sout1528,disgust,15.0,mdp.39015012891506,1985.0,0.0004461762693714,3.5200366403343546,33619.0,Croatia,Serbian-Croatian-Bosnian,1.7705544933078394,1.8027578591826225,5.450551232166018
494,Serbian-Croatian-Bosnian,sout1528,fear,19.0,mdp.39015012891506,1985.0,0.0005651566078705,-2.3849618269159154,33619.0,Croatia,Serbian-Croatian-Bosnian,2.739961759082218,1.8250254809721596,5.450551232166018
495,Serbian-Croatian-Bosnian,sout1528,frustration,2.0,mdp.39015012891506,1985.0,5.949016924953151e-05,0.8719136284369274,33619.0,Croatia,Serbian-Croatian-Bosnian,3.4302103250478013,1.8089828415979714,5.450551232166018
